Name;Owner;PassengerCapacity;CargoCapacity;MaxSpeed
Golden Odyssey;Capture Success Hong Kong;215
Golden Princess;Princess Cruises;1100
Grand Princess;Princess Cruises;1100
Grande Caribe;Blount Small Ship Adventures;17
Grandeur of the Seas;Royal Caribbean International;760
Greg Mortimer;Aurora Expeditions;95
Hamburg;Plantours Kreuzfahrten;170
Hanse Explorer;Harren & Partner;6
Hanseatic nature;Hapag-Lloyd Cruises;175
Hanseatic inspiration;Hapag-Lloyd Cruises;175
Hanseatic spirit;Hapag-Lloyd Cruises;175
Harmony of the Seas;Royal Caribbean International;2384
Hebridean Princess;All Leisure Holidays Ltd.;38
Heritage Adventurer;Heritage Expeditions;125
Hondius;Oceanwide Expeditions;0
Holiday;Cruise & Maritime Voyages;680
Horizon;Pullmantur Cruises;573
Icon of the Seas;Royal Caribbean International;8940
Independence of the Seas;Royal Caribbean International;1360
Infante Dom Henrique;;318
Insignia;Oceania Cruises;386
Iona;P&O Cruises;1762
Island Adventure;SeaEscape;0
Island Escape;Thomson Holidays;540
Island Princess;Princess Cruises;900
Island Sky;Noble Caledonia;75
Jewel of the Seas;Royal Caribbean International;859
Jubilee;Carnival Cruise Lines;670
Jupiter;Epirotiki Lines;110
Kapitan Dranitsyn;Murmanskoje morskoje parohodstwo;90
Kapitan Khlebnikov;Quark Expeditions;90
Klavdiya Yelanskaya;Murmanskoje morskoje parohodstwo;0
Knyaz Vladimir;Black Sea Cruises;325
Kong Harald;Hurtigruten ASA;78
Koningsdam;Holland-America Line;0
Lauren L;;0
L Austral;Compagnie du Ponant;140
Le Boréal;Compagnie du Ponant;139
Le Bellot;Compagnie du Ponant;0
Le Bougainville;Compagnie du Ponant;0
Le Champlain;Compagnie du Ponant;0
Le Commandant Charcot;Compagnie du Ponant;235
Le Dumont-d'Urville;Compagnie du Ponant;0
Le Lapérouse;Compagnie du Ponant;0
Le Lyrial;Compagnie du Ponant;139
Le Soléal;Compagnie du Ponant;139
Le Jacques Cartier;Compagnie du Ponant;0
Liberty of the Seas;Royal Caribbean International;1360
Lindblad Quest;;0
Lindblad Venture;;0
Lisboa;Portuscale Cruises;240
Lord of the Glens;Magnacarta;20
Lyubov Orlova;Quark Expeditions;70
Magellan Explorer;Antarctica XXI;0
Majestic Princess;Princess Cruises;0
Majesty of the Oceans;Seajets;827
Marco Polo;Cruise & Maritime Voyages;0
Mardi Gras;Carnival Cruise Line;1745
Marella Celebration;Marella Cruises;520
Marella Discovery;Marella Cruises;723
Marella Discovery 2;Marella Cruises;726
Marella Dream;Marella Cruises;636
Marella Explorer;Marella Cruises;780
Marella Explorer 2;Celebrity Cruises;843
Marella Spirit;Marella Cruises;520
Margaritaville at Sea Paradise;Margaritaville at Sea;590
Mariya Yermolova;TinTur;0
Marina;Oceania Cruises;800
Mariner of the Seas;Royal Caribbean International;1185
Maud;Hurtigruten AS;170
Maxim Gorkiy;Phoenix Reisen;340
Mein Schiff 1;TUI Cruises;1000
Mein Schiff 2;TUI Cruises;1000
Mein Schiff 3;TUI Cruises;1000
Mein Schiff 4;TUI Cruises;1000
Mein Schiff 5;TUI Cruises;1000
Mein Schiff 6;TUI Cruises;1030
Mein Schiff Herz;TUI Cruises;780
Mikhail Lermontov;;0
Minerva;V.Ships;170
Monarch of the Seas;Pullmantur Cruises;858
Monterey;Mediterranean Shipping Company;0
MSC Armonia;MSC Cruises;721
MSC Bellissima;MSC Cruises;1536
MSC Divina;MSC Cruises;1325
MSC Euribia;MSC Cruises;6327
MSC Fantasia;MSC Cruises;1325
MSC Grandiosa;MSC Cruises;1704
MSC Lirica;MSC Cruises;721
MSC Magnifica;MSC Cruises;1027
MSC Meraviglia;MSC Cruises;1536
MSC Musica;MSC Cruises;987
MSC Opera;MSC Cruises;701
MSC Orchestra;MSC Cruises;987
MSC Poesia;MSC Cruises;987
MSC Preziosa;MSC Cruises;1370
MSC Seashore;MSC Cruises;1413
MSC Seascape;MSC Cruises;1413
MSC Seaside;MSC Cruises;1413
MSC Seaview;MSC Cruises;1413
MSC Sinfonia;MSC Cruises;710
MSC Splendida;MSC Cruises;1332
MSC Virtuosa;MSC Cruises;1704
MSC World Europa;MSC Cruises;2138
National Geographic Endeavour;Lindblad Expeditions;67
National Geographic Endurance;Lindblad Expeditions;0
National Geographic Explorer;Lindblad Expeditions;0
Nautica;Oceania Cruises;386
Navigator of the Seas;Royal Caribbean International;1181
Nessebar;;129
New Imperial Star;;180
Nieuw Amsterdam;Holland-America Line;929
Nieuw Statendam;Holland-America Line;0
Noordam;Holland-America Line;842
Nordkapp;Hurtigruten AS;59
Nordlys;Hurtigruten AS;55
Nordnorge;Hurtigruten AS;80
Nordstjernen;M/S Nordstjernen AS;0
Norway;Norwegian Cruise Line;875
Norwegian Breakaway;Norwegian Cruise Line;1595
Norwegian Dawn;Norwegian Cruise Line;1086
Norwegian Epic;Norwegian Cruise Line;1690
Norwegian Gem;Norwegian Cruise Line;1154
Norwegian Escape;Norwegian Cruise Line;1731
Norwegian Getaway;Norwegian Cruise Line;1640
Norwegian Jade;Norwegian Cruise Line America;1100
Norwegian Jewel;Norwegian Cruise Line;1154
Norwegian Bliss;Norwegian Cruise Line;0
Norwegian Encore;Norwegian Cruise Line;1716
